Year,Ranking,Company,Customer Satisfaction,Employee Engagement and Development,Innovation,Social Responsibility,Financial Strength,Effectiveness
2017,1,Amazon,65.3,57.0,166.3,40.2,55.5,89.0
2017,2,Apple,64.2,61.8,90.9,61.5,99.5,88.4
2017,3,Alphabet,62.6,82.0,95.0,60.8,71.0,86.7
2017,4,Johnson & Johnson,51.5,73.7,88.8,73.7,70.4,83.4
2017,5,International Business Machines,69.4,49.3,102.3,67.7,63.5,80.7
2017,6,Microsoft,56.4,74.4,70.8,72.8,70.9,79.5
2017,7,Procter & Gamble,61.9,64.4,75.2,65.4,80.2,79.5
2017,8,3M,65.7,64.5,79.8,70.5,63.7,78.8
2017,9,Cisco Systems,72.3,70.7,67.8,72.1,58.0,77.8
2017,10,Nvidia,69.1,73.2,58.0,65.1,72.7,76.8
2017,11,Nike,60.9,66.6,72.7,66.2,70.3,76.4
2017,12,Dow,66.4,63.4,84.4,65.3,52.8,74.9
2017,13,Accenture,70.6,65.5,49.9,72.1,72.7,74.9
2017,14,Intel,41.5,60.0,75.1,78.4,70.8,74.0
2017,15,Clorox,65.0,72.8,48.4,69.4,71.7,73.8
2017,16,S&P Global,71.9,52.7,44.8,60.2,96.2,72.8
2017,17,Colgate-Palmolive,64.4,60.5,62.0,66.2,71.3,72.7
2017,17,Weyerhaeuser,62.4,56.9,90.5,65.6,47.6,72.1
2017,19,Exxon Mobil,44.0,58.9,104.8,55.9,56.6,71.1
2017,20,Marriott,63.1,64.2,72.7,59.0,59.5,70.6
2017,21,General Electric,51.3,60.9,85.6,65.4,53.3,70.4
2017,22,HP,50.9,51.3,69.1,73.2,70.3,70.2
2017,23,Medtronic,43.7,57.8,96.8,66.3,49.6,70.2
2017,24,Intuit,50.2,79.9,51.4,58.6,75.1,70.1
2017,25,Southwest Airlines,64.0,68.5,61.0,59.5,63.6,70.1
2017,26,Kimberly-Clark,68.5,61.3,49.5,68.7,67.2,70.0
2017,26,Starbucks,45.7,55.3,74.0,64.1,75.6,69.8
2017,28,Pepsi,67.1,53.5,63.4,67.1,63.7,69.7
2017,29,Molson Coors,71.3,62.1,64.0,63.8,53.7,69.6
2017,30,Lockheed Martin,58.6,55.1,58.2,65.6,75.8,69.4
2017,31,Adobe,50.4,78.7,56.1,68.6,56.1,68.9
2017,32,Ford,62.2,66.6,62.0,62.6,58.4,68.8
2017,33,Altria,48.3,62.0,54.0,56.9,90.6,68.7
2017,34,Coca-Cola,59.8,53.5,80.1,62.7,51.9,67.5
2017,35,United Parcel Service,55.0,57.2,59.3,62.6,72.9,67.4
